"","AUC","min.client.count"
"1",0.674710424710425,"20"
"2",0.721481481481482,"20"
"3",0.784005468215994,"20"
"4",0.697198275862069,"20"
"5",0.830985915492958,"20"
"6",0.786345558992488,"20"
"7",0.794117647058823,"20"
"8",0.751449275362319,"20"
"9",0.798468933594445,"20"
"10",0.811637931034483,"20"
"11",0.672393822393822,"30"
"12",0.718518518518519,"30"
"13",0.783321941216678,"30"
"14",0.693965517241379,"30"
"15",0.831964006259781,"30"
"16",0.784798939460893,"30"
"17",0.796380090497738,"30"
"18",0.752536231884058,"30"
"19",0.797934840662275,"30"
"20",0.812715517241379,"30"
"21",0.673166023166023,"40"
"22",0.717777777777778,"40"
"23",0.784347231715653,"40"
"24",0.694181034482759,"40"
"25",0.830007824726135,"40"
"26",0.785019885108263,"40"
"27",0.795351707116413,"40"
"28",0.752898550724638,"40"
"29",0.799715150436176,"40"
"30",0.813362068965517,"40"
"31",0.672586872586873,"60"
"32",0.716543209876543,"60"
"33",0.783663704716336,"60"
"34",0.69676724137931,"60"
"35",0.832159624413146,"60"
"36",0.785019885108263,"60"
"37",0.795968737145208,"60"
"38",0.751449275362319,"60"
"39",0.798290902617055,"60"
"40",0.813146551724138,"60"
"41",0.671042471042471,"70"
"42",0.715555555555556,"70"
"43",0.785885167464115,"70"
"44",0.697844827586207,"70"
"45",0.830985915492958,"70"
"46",0.783031374281927,"70"
"47",0.793500617030029,"70"
"48",0.755072463768116,"70"
"49",0.798824995549226,"70"
"50",0.8125,"70"
"51",0.671042471042471,"90"
"52",0.719259259259259,"90"
"53",0.781271360218729,"90"
"54",0.696120689655172,"90"
"55",0.829225352112676,"90"
"56",0.783031374281927,"90"
"57",0.794323323735088,"90"
"58",0.74981884057971,"90"
"59",0.800071212390956,"90"
"60",0.811853448275862,"90"
