"","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol"
"1977",8,"Civil",47.46,"architect","civBldg_subdiv_sewer",10.050482859022,10.3065634754797,3.96157478425739,"Fixed Quote","midtech",0.0196739713774597,2013,"9m-1.5y","8k-60k","C2235","CN1578","2013.254.2","0"
"1978",5,"Structural",37.47,"architect","edu_exten_community",10.4654389338321,10.3065634754797,3.94177596357749,"Fixed Quote","seniortech",0.234007952463924,2013,"9m-1.5y","8k-60k","C2235","CN1578","2013.254.3","0"
"1979",6,"Civil",97.98,"architect","waste_wat_manage",9.87967767397992,10.3335464065589,4.5621582953948,"Fixed Quote","seniorpro",0.0682228706405447,2013,"1.5y-3y","8k-60k","C2314","CN1098","2013.255.2","0"
"1980",1,"Structural",100,"architect","edu_exten_community",6.79019487781325,10.0459540950504,4.60517018598809,"Hourly Rate","director",0.822916666666667,2013,"1d-3wk","600-2.5k","C2134","CN1499","2013.257.3","0"
"1981",3,"Civil",20.06,"builder","refurb/renovation",9.44077737355233,9.98899851279667,4.38127635328318,"Fixed Quote","midtech",-0.200516129032258,2013,"2.5m-9m","8k-60k","C2511",NA,"2013.259.2","1"
"1982",6,"Structural",47.65,"architect","residential",9.75044800125748,8.96565903885552,3.57682995030531,"Fixed Quote","midtech",-0.353340595010883,2013,"9m-1.5y","8k-60k","C2973","CN1427","2013.262.3","1"
"1983",3,"Structural",100,"architect","edu_exten_community",7.82996666645842,10.0459540950504,4.48255047244018,"Fixed Quote","seniorpro",0.75531914893617,2013,"2.5m-9m","2.5k-8k","C2134","CN1499","2013.263.3","0"
"1984",1,"Structural",100,"architect","refurb/renovation",8.75630773418608,8.36248602344484,4.60517018598809,"Hourly Rate","director",0.644736842105263,2013,"2.5m-9m","2.5k-8k","C2046",NA,"2013.264.3","0"
"1985",1,"Structural",100,"lawyer_bodyC","heritage_expert",7.14686982175198,7.13089883029635,4.60517018598809,"Hourly Rate","director",0.5625,2013,"1d-3wk","600-2.5k",NA,NA,"2013.266.3","0"
"1986",3,"Structural",40.15,"developer/real estate","residential",9.49824507891546,9.11134842276923,4.03953632572711,"Fixed Quote","midtech",-0.322930100593242,2013,"9m-1.5y","8k-60k","C2191","CN1322","2013.267.3","1"
"1987",1,"Structural",100,"engineer","edu_exten_community",7.61687345099771,7.54299258695713,4.60517018598809,"Fixed Quote","seniorpro",1.22222222222222,2013,"1d-3wk","600-2.5k","C2527",NA,"2013.269.3","0"
"1988",1,"Structural",100,"developer/real estate","industrial",8.24548211042009,8.22951111896446,4.60517018598809,"Hourly Rate","director",0.674107142857143,2013,"1d-3wk","2.5k-8k",NA,NA,"2013.270.3","0"
"1989",3,"Environmental Planning",100,"developer/real estate","waste_wat_manage",8.92182217266365,8.70034773451408,3.92335851509189,"Hourly Rate","seniorpro",0.110692771084337,2013,"9m-1.5y","2.5k-8k","C2272","CN1872","2013.272.6","0"
"1990",6,"Structural",80.39,"road_rail_gov_util","wharf_bridge",10.3847397903188,10.6722826439353,4.32094878516529,"Hourly Rate","midpro",0.297705146206169,2013,"9m-1.5y","8k-60k","C2967","CN1579","2013.275.3","0"
"1991",1,"Structural",100,"sign_manufac","sign_product",6.23057908987783,7.9311050831497,4.60517018598809,"Fixed Quote","director",2.125,2013,"1d-3wk","100-600","C2403","CN1702","2013.276.3","0"
"1992",2,"Structural",100,"developer/real estate","industrial",8.31997096241083,8.3039999709552,4.57697645161731,"Fixed Quote","seniorpro",1.20765027322404,2013,"2.5m-9m","2.5k-8k",NA,"CN1322","2013.277.3","0"
"1993",6,"Environmental Planning",99.57,"biz_bldgserv_internal","Subdivision",9.94170915292658,10.1704577319349,3.62006513811358,"Fixed Quote","director",-0.186310600960352,2013,"9m-1.5y","8k-60k","C2383","CN1178","2013.280.6","1"
"1994",9,"Civil",72.41,"biz_bldgserv_internal","civBldg_subdiv_sewer",10.8778983893741,10.8619273979184,3.40916555131133,"Fixed Quote","gradpro",-0.0389620919585345,2013,"9m-1.5y","8k-60k",NA,NA,"2013.281.2","1"
"1995",2,"Environmental Planning",100,"unknown","edu_exten_community",7.32919137854594,7.3132203870903,4.60517018598809,"Fixed Quote","seniorpro",-0.175824175824176,2013,"3wk-2.5m","600-2.5k",NA,NA,"2013.284.6","1"
"1996",2,"Structural",100,"uni_school","edu_exten_community",6.64928942473601,6.63331843328038,4.04550439680263,"Fixed Quote","seniorpro",0.461538461538462,2013,"2.5m-9m","600-2.5k",NA,NA,"2013.285.3","0"
"1997",4,"Structural",95.05,"architect","edu_exten_community",8.43411702927064,8.62186847235437,4.26675606512954,"Fixed Quote","director",0.277433004231312,2013,"9m-1.5y","2.5k-8k","C2005",NA,"2013.286.3","0"
"1998",4,"Structural",68.25,"architect","refurb/renovation",8.7595026250826,10.949842397964,3.79413996477143,"Fixed Quote","director",0.559701492537313,2013,"2.5m-9m","2.5k-8k","C2680","CN1878","2013.291.3","0"
"1999",1,"Structural",100,"developer/real estate","art_facade_awn_memb",6.18975709535757,7.9229859587112,4.60517018598809,"Hourly Rate","director",0.0370978545038135,2013,"1d-3wk","100-600","C2087","CN1324","2013.294.3","0"
"2000",1,"Structural",100,"biz_bldgserv_internal","edu_exten_community",7.11227837698236,7.09630738552673,4.60517018598809,"Hourly Rate","seniorpro",0.5,2013,"3wk-2.5m","600-2.5k",NA,NA,"2013.296.3","0"
"2001",6,"Structural",90.47,"road_rail_gov_util","wharf_bridge",11.5671696053974,10.6722826439353,4.43828881368201,"Fixed Quote","midpro",0.0763648606650782,2013,"9m-1.5y","60k-1.8m","C2967",NA,"2013.297.3","0"
"2002",5,"Civil",67.48,"road_rail_gov_util","civBldg_subdiv_sewer",9.4491348635351,9.07229824986199,4.15214166094832,"Hourly Rate","seniorpro",-0.024512099921936,2013,"9m-1.5y","8k-60k","C2451","CN1824","2013.298.2","1"
"2003",6,"Civil",56.61,"builder","civBldg_subdiv_sewer",10.8440154169902,10.1390923391488,3.9475831808267,"Fixed Quote","seniorpro",0.235783410138249,2013,"9m-1.5y","8k-60k","C2918","CN1560","2013.301.2","0"
"2004",5,"Structural",70.59,"builder","refurb/renovation",9.87816974455184,10.1390923391488,4.03883185229184,"Fixed Quote","gradpro",-0.0866296634581606,2014,"2.5m-9m","8k-60k","C2918","CN1560","2013.301.3","1"
"2005",1,"Structural",100,"hosp_institut_health","hosp_health_carpark",5.94289701742605,7.85652094539749,4.60517018598809,"Hourly Rate","director",0.5625,2013,"1d-3wk","100-600","C2939","CN1669","2013.304.3","0"
"2006",3,"Structural",51.72,"hosp_institut_health","hosp_health_carpark",10.0633424143203,8.98532006064911,3.87701739622933,"Hourly Rate","seniortech",0.45114671693371,2013,"2.5m-9m","8k-60k","C2385","CN1257","2013.305.3","0"
"2007",2,"Structural",82.76,"uni_school","report",8.72757898735321,8.23462070941196,4.41594485287734,"Fixed Quote","director",0.303918411164788,2013,"3wk-2.5m","2.5k-8k","C2806","CN1455","2013.306.3","0"
"2008",2,"Structural",94.59,"engineer","industrial",8.30751750133954,9.87328604380301,4.54955176222508,"Fixed Quote","seniorpro",0.564705882352941,2013,"3wk-2.5m","2.5k-8k","C2957",NA,"2013.313.3","0"
"2009",1,"Structural",100,"person","heritage_expert",6.12521857422,6.10924758276437,4.60517018598809,"Fixed Quote","director",0.40625,2013,"1d-3wk","100-600",NA,NA,"2013.315.3","0"
"2010",1,"Structural",100,"road_rail_gov_util","edu_exten_community",8.07112872327531,9.07229824986199,4.60517018598809,"Fixed Quote","seniorpro",1.09302325581395,2013,"1d-3wk","2.5k-8k","C2451","CN1800","2013.319.3","0"
"2011",1,"Structural",100,"road_rail_gov_util","art_facade_awn_memb",8.09465922068551,8.42060960116888,4.60517018598809,"Fixed Quote","midpro",0.791666666666667,2013,"9m-1.5y","2.5k-8k","C2644","CN1658","2013.323.3","0"
"2012",1,"Structural",100,"architect","report",8.45412097553142,8.36248602344484,4.60517018598809,"Fixed Quote","director",1.8875,2013,"1d-3wk","2.5k-8k","C2046",NA,"2013.324.3","0"
"2013",4,"Structural",58.99,"architect","art_facade_awn_memb",9.74688927864049,11.8816888978167,3.71381593940397,"Hourly Rate","seniortech",0.296110897189064,2013,"2.5m-9m","8k-60k","C2130","CN1710","2013.326.3","0"
"2014",2,"Environmental Planning",100,"road_rail_gov_util","waste_wat_manage",10.256823239396,10.2248497771565,4.59592760462116,"Fixed Quote","seniorpro",0.513637591142317,2013,"2.5m-9m","8k-60k","C2899","CN1220","2013.329.6","0"
"2015",2,"Environmental Planning",100,"road_rail_gov_util","waste_wat_manage",10.4252213734153,10.2248497771565,4.59643212004481,"Hourly Rate","seniorpro",0.751518352257724,2013,"2.5m-9m","8k-60k","C2899","CN1220","2013.331.6","0"
"2016",1,"Structural",100,"architect","residential",7.9229859587112,10.949842397964,4.60517018598809,"Hourly Rate","director",0.916666666666667,2014,"2.5m-9m","2.5k-8k","C2680","CN1447","2013.332.3","0"
"2017",4,"Structural",44.17,"architect","refurb/renovation",11.2678563149205,10.0459540950504,3.78804582560844,"Fixed Quote","director",0.609373459054948,2013,"9m-1.5y","60k-1.8m","C2134","CN1507","2013.333.3","0"
"2018",2,"Structural",100,"person","residential",6.36160735228423,6.3456363608286,4.38202663467388,"Fixed Quote","seniorpro",1.03571428571429,2013,"1d-3wk","100-600",NA,NA,"2013.334.3","0"
"2019",5,"Civil",91.55,"architect","civBldg_subdiv_sewer",7.2566206857111,10.7663823599921,3.89792408104864,"Fixed Quote","director",-0.396103896103896,2013,"2.5m-9m","600-2.5k","C2053","CN1543","2013.336.2","1"
"2020",6,"Structural",86.49,"road_rail_gov_util","report",11.4112384129576,10.6722826439353,4.05698877567833,"Fixed Quote","seniorpro",0.274298755831458,2013,"2.5m-9m","60k-1.8m","C2967",NA,"2013.340.3","0"
"2021",1,"Structural",100,"uni_school","residential",8.45520264140216,8.16799026231621,4.60517018598809,"Fixed Quote","director",0.959745762711864,2013,"2.5m-9m","2.5k-8k","C2726","CN1166","2013.344.3","0"
"2022",1,"Structural",100,"architect","residential",5.49660991479762,5.48063892334199,4.60517018598809,"Fixed Quote","director",0.5,2013,"1d-3wk","100-600",NA,"CN1518","2013.346.3","0"
"2023",1,"Structural",100,"builder","art_facade_awn_memb",6.36160735228423,6.3456363608286,4.60517018598809,"Fixed Quote","seniorpro",0.9,2013,"1d-3wk","100-600",NA,NA,"2013.347.3","0"
"2024",1,"Structural",100,"engineer","art_facade_awn_memb",7.97794073447431,7.54299258695713,4.60517018598809,"Fixed Quote","seniorpro",0.366715562074943,2013,"1d-3wk","2.5k-8k","C2527","CN1321","2013.348.3","0"
"2025",1,"Structural",100,"biz_bldgserv_internal","hosp_health_carpark",6.64928942473601,7.69848278788095,4.60517018598809,"Hourly Rate","seniorpro",0.9,2013,"1d-3wk","600-2.5k","C2159","CN1371","2013.349.3","0"
"2026",4,"Structural",70.51,"architect","edu_exten_community",9.91570149511405,10.0459540950504,4.25575454373095,"Fixed Quote","director",0.898523106241067,2013,"2.5m-9m","8k-60k","C2134","CN1499","2013.351.3","0"
"2027",1,"Environmental Planning",100,"developer/real estate","waste_wat_manage",7.32919137854594,7.3132203870903,4.60517018598809,"Fixed Quote","seniorpro",0.339285714285714,2013,"1d-3wk","600-2.5k",NA,NA,"2013.352.6","0"
"2028",3,"Structural",69.27,"road_rail_gov_util","refurb/renovation",9.39267290064704,9.07229824986199,4.18357569595004,"Fixed Quote","seniorpro",0.605164797825348,2013,"9m-1.5y","8k-60k","C2451","CN1800","2013.354.3","0"
"2029",1,"Structural",100,"uni_school","edu_exten_community",7.7346564866541,8.23462070941196,4.60517018598809,"Hourly Rate","director",0.7578125,2013,"1d-3wk","600-2.5k","C2806","CN1455","2013.355.3","0"
"2030",6,"Environmental Planning",100,"unknown","waste_wat_manage",10.7355089629027,11.244045519481,3.76792166145389,"Fixed Quote","director",0.20616,2013,"9m-1.5y","8k-60k","C2768","CN1014","2013.356.6","0"
"2031",2,"Environmental Planning",100,"architect","civBldg_subdiv_sewer",8.52915616147433,8.5131851700187,4.60517018598809,"Fixed Quote","director",-0.191558441558442,2013,"2.5m-9m","2.5k-8k",NA,NA,"2013.357.6","1"
"2032",4,"Civil",76.36,"architect","civBldg_subdiv_sewer",7.83399892998636,10.0459540950504,3.92098274679962,"Fixed Quote","director",-0.653175157013259,2013,"9m-1.5y","2.5k-8k","C2134","CN1507","2013.361.2","1"
"2033",3,"Structural",60.22,"architect","edu_exten_community",10.160834863567,10.0459540950504,3.68336427342583,"Fixed Quote","seniortech",1.08006535947712,2013,"2.5m-9m","8k-60k","C2134","CN1507","2013.361.3","0"
"2034",3,"Structural",68.7,"enviro_water","heritage_expert",10.1457969862025,9.27281457637735,3.82428409112014,"Fixed Quote","director",0.209549071618037,2013,"2.5m-9m","8k-60k","C2621","CN1024","2013.362.3","0"
"2035",11,"Structural",68.64,"developer/real estate","edu_exten_community",12.1012098023712,11.917588117864,3.44553319548221,"Fixed Quote","seniortech",0.00811239406177124,2013,"9m-1.5y","60k-1.8m","C2501",NA,"2013.364.3","0"
"2036",5,"Structural",42.19,"architect","residential",10.0482914158347,9.64035239100384,3.95143600778498,"Fixed Quote","midtech",-0.16082626337145,2013,"9m-1.5y","8k-60k","C2614",NA,"2013.365.3","1"
