"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1131",6,"Structural",64.17,"architect","C2619","architectural house",9.12580527077393,10.8420291583131,10.175078352088,3.98861360758986,"CN1450",NA,"midpro",-0.136999734686967,"2010.051",2010
"1132",1,"Structural",100,"builder","C2918","industrial",10.871789689655,9.67009251982541,10.1390923391488,4.60517018598809,"CN1631",NA,"director",0.284839945400907,"2010.053",2010
"1133",3,"Structural",36.43,"architect","C2236","architectural house",6.51868391517377,9.30624415545375,10.6552538157508,4.15214166094832,"CN1876",NA,"midtech",0.250645982083941,"2010.055",2010
"1134",3,"Water",100,"institution","C2391",NA,5.47370367479843,9.17468320681653,8.50545860973384,4.52720864451838,"CN1463",NA,"seniorpro",1.09669811320755,"2010.056",2010
"1135",1,"Structural",100,"builder","C2491","sign",0,6.3735700178669,7.63034960506481,4.60517018598809,NA,NA,"seniorpro",0.52112676056338,"2010.058",2010
"1136",2,"Structural",100,"architect","C2614","extension",8.09267233456645,9.09996935763731,9.64035239100384,4.51655752763149,NA,NA,"midpro",0.0735198438516591,"2010.061",2010
"1137",2,"Structural",100,"manufacturer/supplier","C2206","product development",1.25992104989487,7.40846649214891,8.59460783336366,3.91202300542815,"CN1096",NA,"director",0.551020408163265,"2010.063",2010
"1138",4,"Structural",92.68,"artist","C2425","art/sculpture",4.4140049624421,8.27761044559736,8.41396151927333,3.93613008077138,"CN1747",NA,"midpro",0.542553191489362,"2010.064",2010
"1139",2,"Structural",73.44,"architect","C2614",NA,7.68008571952936,9.31654593898158,9.64035239100384,4.29646874631224,"CN1368",NA,"director",1.37565217391304,"2010.065",2010
"1140",1,"Structural",100,"school",NA,NA,1.44224957030741,6.63308121335199,6.5510803350434,4.60517018598809,NA,NA,"seniorpro",0.647058823529412,"2010.066",2010
"1141",1,"Structural",100,"builder","C2113","awning",1,7.03377304270749,8.32320059219371,4.60517018598809,NA,NA,"director",1.17708333333333,"2010.068",2010
"1142",1,"Structural",100,"manufacturer/supplier","C2206","membrane shade structure",1.44224957030741,5.78578335296478,8.59460783336366,4.60517018598809,"CN1096",NA,"seniorpro",0.764705882352941,"2010.069",2010
"1143",1,"Structural",100,"health",NA,NA,2.51984209978975,6.82723722779295,6.74523634948436,4.60517018598809,NA,NA,"seniorpro",0.464381083642002,"2010.070",2010
"1144",1,"Structural",100,"engineer","C2039",NA,1.5874010519682,7.90604688916488,8.26230094178745,4.60517018598809,NA,NA,"seniorpro",1.85714285714286,"2010.071",2010
"1145",3,"Structural",80.86,"architect",NA,NA,4.57885697021333,9.43210319265993,9.35010231435134,3.97236523443431,NA,NA,"seniorpro",0.0790523105794042,"2010.072",2010
"1146",6,"Structural",95.43,"developer/real estate",NA,NA,5.66705110809706,10.7520603144689,10.6700594361603,4.01728351608564,NA,NA,"midpro",0.325750809663483,"2010.073",2010
"1147",3,"Civil",100,"developer/real estate",NA,NA,6.21446501190772,9.67112009313043,9.58911921482184,4.08799108824993,NA,NA,"midpro",-0.185224360369045,"2010.075",2010
"1148",7,"Civil",74.56,"builder","C2918",NA,8.3010305005894,9.92507472428409,10.1390923391488,4.01746351788614,NA,NA,"midpro",0.428150977802692,"2010.076",2010
"1149",4,"Civil",95.34,"builder","C2918",NA,9.06536770125941,9.67214661161235,10.1390923391488,4.3395104975708,NA,NA,"director",0.347465437788018,"2010.077",2010
"1150",1,"Structural",100,"school","C2379",NA,1.7099759466767,7.12078441969712,8.01052557779891,4.60517018598809,NA,NA,"director",0.52,"2010.078",2010
"1151",1,"Structural",100,"hospital","C2939","hospital",0,5.92554529533994,7.85652094539749,4.60517018598809,"CN1925",NA,"director",0.4375,"2010.079",2010
"1152",1,"Structural",100,"architect","C2236","multi-dwelling",1.44224957030741,6.77284315572715,10.6552538157508,4.60517018598809,"CN1876",NA,"director",0.4375,"2010.080",2010
