AUC
0.6974
0.698163
0.700842
0.677906
0.698802
0.706758
0.680289
0.696077
0.69727
0.692748
0.681642
0.699334
0.692798
0.690826
0.709901
0.697643
0.699026
0.69895
0.699797
0.691685
