"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"255",255,1,"Structural",100,"architect","residential",5.50321900927604,7.43313448375564,4.60517018598809,"Fixed Quote","director",0.285714285714286,2005,"3wk-2.5m","100-600","C2472",NA,"2005.037",0,"profit",0.479722197270388,0.138,0.24631852053583,0.782822448956695,0.371483512420134,-1.40112978165289
"256",256,2,"Civil",53.66,"builder","civBldg_subdiv_sewer",7.2360319746088,7.04355285187936,3.98266784499748,"Fixed Quote","director",-0.335971014492754,2005,"1.5y-3y","600-2.5k",NA,NA,"2005.038",1,"loss",0.796398114597151,0.55,0.718484353539215,0.926922464651294,0.741619848709566,-0.330611350263546
"257",257,1,"Structural",100,"architect","residential",7.69907090280029,9.17367638760459,4.60517018598809,"Hourly Rate","director",0.100529100529101,2005,"2.5m-9m","600-2.5k","C2416",NA,"2005.039",0,"profit",0.246325129907804,0.293,0.241122301513319,0.626858578473853,0.541294744108974,-1.42245099905445
"258",258,1,"Structural",100,"sign_manufac","residential",7.37216811719522,8.44279717778255,4.60517018598809,"Fixed Quote","director",-0.10941475826972,2005,"2.5m-9m","600-2.5k","C2920",NA,"2005.040",1,"loss",0.201897842105307,0.095,0.092709017283916,0.586647501986846,0.308220700148449,-2.37828953731247
"259",259,2,"Structural",50.94,"architect","edu_exten_community",9.8972230107749,9.64035239100384,3.93064846955131,"Hourly Rate","director",0.481279368862523,2005,"1.5y-3y","8k-60k","C2614",NA,"2005.041",0,"profit",0.11022444446863,0.067,0.112167029039061,0.479467645430413,0.258843582110896,-2.18776618791041
"260",260,2,"Structural",21.51,"sign_manufac","hotel_office_dining",9.33239703040909,8.44279717778255,3.84395827451402,"Fixed Quote","gradpro",0.856573705179283,2005,"9m-1.5y","8k-60k","C2920",NA,"2005.042",0,"profit",0.26123354701091,0.315,0.155332487213921,0.63925821202819,0.561248608016091,-1.86218738066012
"261",261,2,"Civil",10.42,"enviro_water","residential",9.50808000536312,9.31560088263368,4.60517018598809,"Fixed Quote","director",0.683333333333333,2005,"9m-1.5y","8k-60k",NA,NA,"2005.044",0,"profit",0.257571572255701,0.33,0.412116095442247,0.636257101938562,0.574456264653803,-0.886450184272565
"262",262,7,"Civil",35.97,"resources","waste_wat_manage",12.1396353032947,11.2405027737074,4.11120167928852,"Hourly Rate","director",0.576431568150012,2005,"1.5y-3y","60k-1.8m","C2562",NA,"2005.047",0,"profit",0.469674420760789,0.488,0.552977227160255,0.777318438327009,0.698569967862919,-0.592438458849779
"263",263,3,"Structural",47.11,"architect","residential",9.94623330806477,9.56115145704996,3.98898404656427,"Fixed Quote","midtech",0.371192514433605,2005,">3y","8k-60k","C2755",NA,"2005.048",0,"profit",0.425480949012755,0.193,0.286726301410336,0.752130799200888,0.439317652729776,-1.24922717186196
"264",264,4,"Civil",4.87,"unknown","parks and open spaces",10.704846256687,10.4159617167124,4.33060175268169,"Hourly Rate","director",0.310267741800984,2005,"9m-1.5y","8k-60k","C2579",NA,"2005.049",0,"profit",0.206972228960347,0.553,0.54212552290196,0.591521714829342,0.743639697703128,-0.612257712285758
