"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"1",1,1,"Structural",100,"engineer","residential",8.57977752655008,11.7987991282354,4.60517018598809,"Fixed Quote","director",0.464813793103448,2004,"1.5y-3y","2.5k-8k","C2475",NA,"2002.005",0,"profit",0.142534000465113,0.25,0.0828178411196478,0.522363502071828,0.5,-2.49111176834226
"2",2,4,"Civil",44.83,"developer/real estate","waste_wat_manage",11.3430680623775,11.0911585515315,3.79616311933361,"Fixed Quote","director",-0.264840234341199,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.027",1,"loss",0.242686841291686,0.341,0.108877020369176,0.623756967332852,0.583952052826257,-2.21753628720391
"3",3,3,"Civil",25.66,"biz_bldgserv_internal","edu_exten_community",10.2724976439968,9.68673913370137,4.1890484976914,"Fixed Quote","director",-0.590917443544455,2003,">3y","8k-60k","C2831",NA,"2002.041",1,"loss",0.19205986901957,0.228,0.230732068812732,0.576959784438628,0.477493455452533,-1.46649811690581
"4",4,2,"Structural",100,"architect","residential",6.64883916606213,8.16308637558322,4.60517018598809,"Fixed Quote","director",-0.52,2003,"2.5m-9m","600-2.5k","C2180",NA,"2002.047",1,"loss",0.383272204598232,0.312,0.337930349183629,0.726388748105294,0.558569601750758,-1.084915472238
"5",5,2,"Structural",97.67,"architect","residential",7.39570292331812,7.40806985472246,4.58159444945939,"Fixed Quote","director",0.226125913699599,2004,"2.5m-9m","600-2.5k","C2837",NA,"2002.053",0,"profit",0.409161897753934,0.621,0.482178956750302,0.742389341513229,0.788035532193822,-0.729439954273797
"6",6,3,"Civil",11.97,"developer/real estate","waste_wat_manage",9.79534422337091,11.3023525708299,4.11757268834131,"Fixed Quote","director",0.422082247536793,2004,"2.5m-9m","8k-60k","C2396",NA,"2002.077",0,"profit",0.388853177707492,0.613,0.528679873814516,0.729897513420845,0.782943165242535,-0.637372183772827
"7",7,2,"Structural",31.03,"architect","residential",9.36978394934013,8.36603536187465,4.1041298629569,"Hourly Rate","director",-0.111216617210682,2004,"9m-1.5y","8k-60k","C2351",NA,"2002.094",1,"loss",0.198856662593315,0.177,0.208348517861162,0.583687037733454,0.420713679359253,-1.5685430348363
"8",8,1,"Structural",100,"architect","residential",8.63390991629761,8.36603536187465,4.60517018598809,"Fixed Quote","director",-0.127577821011673,2004,"9m-1.5y","2.5k-8k","C2351",NA,"2002.095",1,"loss",0.170548887346911,0.438,0.106897754659565,0.554561390711511,0.661815684310972,-2.2358824652918
"9",9,3,"Structural",59.51,"person","residential",7.90041094918734,7.64850143834136,4.08614436565676,"Fixed Quote","director",-0.579490777866881,2003,"1.5y-3y","2.5k-8k",NA,NA,"2002.136",1,"loss",0.549965247470215,0.518,0.483732776085517,0.819304013578468,0.719722168617863,-0.726222640263198
"10",10,3,"Civil",9.1,"developer/real estate","Subdivision",9.80711182721701,9.76715280561177,4.21405167158685,"Hourly Rate","director",-0.178777864966125,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.137",1,"loss",0.487738616859456,0.707,0.528432081038269,0.787158846762862,0.840832920383116,-0.637840994629895
"11",11,2,"Structural",48.39,"architect","residential",7.93208515128258,10.7663823599921,3.91202300542815,"Hourly Rate","director",-0.85254353881885,2003,"1.5y-3y","2.5k-8k","C2053",NA,"2002.138",1,"loss",0.268895492003842,0.208,0.154383278760654,0.645447872741916,0.456070170039655,-1.86831694543843
"12",12,5,"Civil",21.54,"developer/real estate","edu_exten_community",8.48505136404413,10.0198580354539,4.12971170605939,"Fixed Quote","seniortech",-0.810276974727222,2003,">3y","2.5k-8k","C2845",NA,"2002.142",1,"loss",0.608695452455776,0.425,0.658467756928196,0.847487599685499,0.651920240520265,-0.417839723419472
"13",13,5,"Civil",28.53,"developer/real estate","waste_wat_manage",11.815478374067,11.563568863221,4.2284382967028,"Fixed Quote","seniorpro",-0.334985016821543,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.163",1,"loss",0.32945337876419,0.401,0.382872012316654,0.690660558186746,0.633245607959503,-0.960054517146214
"14",14,6,"Water",47.17,"builder","waste_wat_manage",11.7130581961474,11.4611486853015,4.13676527810605,"Fixed Quote","director",-0.09008360234366,2003,">3y","60k-1.8m",NA,NA,"2002.180",1,"loss",0.157332281878859,0.353,0.218185359194699,0.539849388585417,0.594138031100518,-1.5224103059338
"15",15,1,"Structural",100,"architect","residential",5.44428123553601,9.5446631573241,4.60517018598809,"Hourly Rate","director",0.212126984126984,2005,"1d-3wk","100-600","C2875",NA,"2002.186",0,"profit",0.123780026854701,0.135,0.116739770681817,0.498368048402665,0.367423461417477,-2.14780800355812
"16",16,3,"Civil",13.44,"developer/real estate","Subdivision",10.1938520988637,9.76715280561177,4.10857614446882,"Hourly Rate","director",-0.428599235001131,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.203",1,"loss",0.727789039417357,0.777,0.509553414941167,0.899501386122907,0.881476034841561,-0.674220593853399
"17",17,2,"Structural",100,"engineer","art_facade_awn_memb",7.46981089547184,7.24422751560335,4.60517018598809,"Fixed Quote","director",0.4,2004,"3wk-2.5m","600-2.5k",NA,NA,"2002.211",0,"profit",0.0567647457683712,0.238,0.123640682347303,0.384319923293218,0.487852436706019,-2.09037564291023
"18",18,1,"Structural",100,"architect","heritage_expert",7.60435061108957,9.62046129162054,4.60517018598809,"Fixed Quote","director",0.114285714285714,2003,"2.5m-9m","600-2.5k","C2406",NA,"2002.219",0,"profit",0.112075460581684,0.117,0.246974275218191,0.482136684922562,0.342052627529741,-1.39847109669224
"19",19,3,"Civil",48.81,"developer/real estate","refurb/renovation",9.23123417724915,8.97932466640317,4.04147107261503,"Hourly Rate","director",-0.878549665789598,2003,">3y","8k-60k",NA,NA,"2003.006",1,"loss",0.078953427579234,0.434,0.454935537375706,0.428999707636023,0.658786763680024,-0.787599546165543
"20",20,3,"Structural",3.65,"architect","edu_exten_community",10.1603846048932,9.31154225248515,4.07940011483628,"Hourly Rate","director",-0.0479348237968928,2003,"1.5y-3y","8k-60k","C2224",NA,"2003.012",1,"loss",0.274977522937046,0.37,0.480013753617274,0.650278005684888,0.608276253029822,-0.733940522121379
"21",21,1,"Structural",100,"architect","edu_exten_community",6.11168741131865,9.64035239100384,4.60517018598809,"Hourly Rate","director",0.2,2004,"1d-3wk","100-600","C2614",NA,"2003.033",0,"profit",0.0964275939622899,0.008,0.118007887196098,0.458564513647145,0.0894427190999916,-2.13700381610531
"22",22,3,"Structural",57.17,"developer/real estate","edu_exten_community",9.82102022986962,9.09259121074605,4.08530381756995,"Fixed Quote","seniorpro",-0.573179599818606,2003,"1.5y-3y","8k-60k","C2798",NA,"2003.041",1,"loss",0.168834716337915,0.287,0.347954691520482,0.552697182705741,0.535723809439155,-1.05568300446422
"23",23,2,"Structural",93.75,"architect","residential",5.08022324814829,7.87283617502572,4.54063166485052,"Fixed Quote","director",-0.837767683322518,2003,"2.5m-9m","100-600","C2684",NA,"2003.048",1,"loss",0.692309551050422,0.685,0.691377834342854,0.884640411033101,0.827647267862342,-0.369068811101872
"24",24,2,"Structural",37.89,"architect","residential",7.58982251052666,8.93047169529196,3.59895474658595,"Fixed Quote","seniorpro",-0.599635440401016,2003,"2.5m-9m","600-2.5k","C2056",NA,"2003.057",1,"loss",0.649672666102354,0.595,0.529621342512413,0.866093670964711,0.771362431027076,-0.635592975865417
"25",25,2,"Structural",100,"architect","residential",5.77337042870823,9.64035239100384,4.60517018598809,"Fixed Quote","director",-0.285714285714286,2003,"3wk-2.5m","100-600","C2614",NA,"2003.071",1,"loss",0.515584822857686,0.653,0.603909558573007,0.801862754553819,0.808084154033477,-0.504330829721003
"26",26,2,"Structural",54.55,"person","edu_exten_community",7.50490221528311,7.27931883541462,3.99911771227908,"Fixed Quote","director",0.32997019032332,2004,"2.5m-9m","600-2.5k",NA,NA,"2003.075",0,"profit",0.672347173821591,0.485,0.571545398013668,0.876054640739022,0.696419413859206,-0.559411362307847
"27",27,2,"Civil",48.42,"person","residential",8.4201889904628,8.16827947961682,4.00733318523247,"Fixed Quote","director",-0.0255756453996713,2003,"1.5y-3y","2.5k-8k",NA,NA,"2003.079",1,"loss",0.650720093811633,0.675,0.755496655475447,0.866558871091912,0.821583836257749,-0.280379924181263
"28",28,5,"Structural",76.96,"architect","industrial",9.23398071796541,8.93047169529196,4.25872841832939,"Fixed Quote","director",-0.715152827409978,2003,"1.5y-3y","8k-60k","C2056",NA,"2003.090",1,"loss",0.21980012290345,0.284,0.264772577399731,0.603498197042672,0.532916503778969,-1.32888401995065
"29",29,3,"Civil",44.48,"developer/real estate","edu_exten_community",10.5716781341767,13.9559889914245,3.58351893845611,"Fixed Quote","director",-0.571996249245643,2003,"2.5m-9m","8k-60k","C2392",NA,"2003.093",1,"loss",0.186522880612998,0.308,0.229403698867202,0.571361146956192,0.554977477020464,-1.47227195032269
"30",30,2,"Structural",72.9,"architect","residential",7.55385322120852,10.6552538157508,4.28908863901461,"Fixed Quote","director",-0.789507894270002,2003,"9m-1.5y","600-2.5k","C2236",NA,"2003.100",1,"loss",0.486370305276572,0.606,0.443156581119716,0.786422053651226,0.778460018241143,-0.813832115135766
"31",31,5,"Civil",48.99,"developer/real estate","civBldg_subdiv_sewer",11.7967308507998,11.3023525708299,3.64675452781327,"Fixed Quote","director",-0.398864433073339,2003,">3y","60k-1.8m","C2396",NA,"2003.112",1,"loss",0.304113039657031,0.361,0.190463019416853,0.672478412380027,0.600832755431992,-1.65829722705589
"32",32,2,"Civil",24.29,"developer/real estate","Subdivision",8.51362447453018,10.0198580354539,4.05785345363969,"Fixed Quote","director",-0.66370291252019,2003,"1.5y-3y","2.5k-8k","C2845",NA,"2003.120",1,"loss",0.837495498458047,0.701,0.653619270581292,0.942600126686923,0.837257427557379,-0.425230252117475
"33",33,3,"Structural",37.89,"architect","residential",7.64517260560982,7.87283617502572,4.13708471589826,"Hourly Rate","director",-0.701629561624971,2003,"2.5m-9m","600-2.5k","C2684",NA,"2003.124",1,"loss",0.531116043086214,0.566,0.573625507120906,0.809834871122583,0.752329714952161,-0.555778522204064
"34",34,2,"Structural",56.33,"architect","residential",8.4653748082405,8.61420737312978,4.03122725290662,"Fixed Quote","director",-0.530441518202943,2004,">3y","2.5k-8k","C2534",NA,"2003.127",1,"loss",0.374960348240053,0.173,0.180692912731271,0.721099367487259,0.415932686861708,-1.71095630334144
"35",35,2,"Structural",83.67,"biz_bldgserv_internal","edu_exten_community",8.39179964846063,9.03190126869645,4.42688049030751,"Fixed Quote","director",0.462097611630322,2004,"2.5m-9m","2.5k-8k","C2516",NA,"2003.139",0,"profit",0.150291740522944,0.111,0.109251790580795,0.531673528806238,0.333166624979154,-2.21410005538518
"36",36,4,"Civil",28.19,"developer/real estate","flood_h2o_harvest",10.5121732022005,10.2602636913545,4.33558994890029,"Hourly Rate","director",-0.463594518490708,2003,"1.5y-3y","8k-60k",NA,NA,"2003.144",1,"loss",0.239304396282292,0.313,0.158989431352572,0.620845530630243,0.559464029227975,-1.83891754845178
"37",37,2,"Structural",87.18,"architect","hotel_office_dining",9.46168408689941,10.3335464065589,4.46797494681025,"Fixed Quote","director",0.604840664711632,2004,"2.5m-9m","8k-60k","C2314",NA,"2003.158",0,"profit",0.0607742794971171,0.133,0.0836582937440112,0.393163572759423,0.364691650576209,-2.48101470829905
"38",38,2,"Structural",100,"architect","art_facade_awn_memb",7.45542215801974,9.64035239100384,4.60517018598809,"Fixed Quote","director",0.00454959053685168,2004,">3y","600-2.5k","C2614",NA,"2003.167",0,"profit",0.352214640041775,0.416,0.479278501927816,0.706213151941545,0.644980619863884,-0.735473426883578
"39",39,1,"Structural",100,"architect","residential",5.30075719510232,9.62046129162054,4.60517018598809,"Fixed Quote","director",-0.2,2004,"3wk-2.5m","100-600","C2406",NA,"2003.173",1,"loss",0.498875102538323,0.654,0.415686838858599,0.793104857912171,0.808702664766229,-0.877823093415745
"40",40,2,"Structural",95.83,"architect","residential",5.81259114186151,9.5446631573241,4.56257578835567,"Fixed Quote","director",-0.777872703972661,2003,"9m-1.5y","100-600","C2875",NA,"2003.178",1,"loss",0.722784728968713,0.741,0.826418099020374,0.897434971830164,0.860813568666294,-0.190654460375422
"41",41,2,"Civil",66.04,"builder","civBldg_subdiv_sewer",8.20618697551294,11.3839547423763,4.19026061905193,"Hourly Rate","director",0.343902784332232,2003,"9m-1.5y","2.5k-8k","C2683",NA,"2003.183",0,"profit",0.252544725470082,0.343,0.192291344532176,0.632090748890978,0.585662018573853,-1.64874363763349
"42",42,2,"Structural",62.71,"architect","residential",6.36115709361035,7.91022370709734,4.13852092455493,"Fixed Quote","director",-0.653846153846154,2003,"9m-1.5y","100-600","C2942",NA,"2003.194",1,"loss",0.836266465173942,0.517,0.720559483700394,0.942138809147076,0.719027120489902,-0.327727308032395
"43",43,2,"Structural",62.22,"person","residential",5.48568835625645,5.09834087451536,4.13067649146949,"Fixed Quote","director",-0.785530454675436,2003,"2.5m-9m","100-600","C2133",NA,"2003.196",1,"loss",0.881207805290272,0.647,0.808290231685193,0.958722187825993,0.804363102087608,-0.212834087326877
"44",44,5,"Structural",48.97,"architect","edu_exten_community",8.58931792512024,10.7663823599921,3.78532535238219,"Hourly Rate","seniorpro",-0.850659425911559,2003,"9m-1.5y","2.5k-8k","C2053",NA,"2003.199",1,"loss",0.249205503432714,0.289,0.323319823310387,0.629292481469737,0.537587202228624,-1.1291132806019
"45",45,2,"Civil",7.98,"town planner","waste_wat_manage",8.72671698576578,9.66667855285783,4.38202663467388,"Fixed Quote","director",-0.155134420449537,2003,"1.5y-3y","2.5k-8k","C2186",NA,"2003.208",1,"loss",0.481650005999099,0.428,0.555916843881545,0.783869662622091,0.654217089351845,-0.587136557281098
"46",46,4,"Structural",9.28,"architect","edu_exten_community",11.0708554489522,10.7663823599921,4.18753127694822,"Fixed Quote","director",-0.431230865616702,2003,">3y","60k-1.8m","C2053",NA,"2003.210",1,"loss",0.151134814493567,0.287,0.168235442837512,0.532665831215463,0.535723809439155,-1.78239083522565
"47",47,2,"Structural",63.24,"architect","residential",8.81598628816107,10.949842397964,4.14693701234127,"Fixed Quote","director",-0.332696593441579,2003,"1.5y-3y","2.5k-8k","C2680",NA,"2003.211",1,"loss",0.29854041809026,0.28,0.201951722135134,0.668345526607101,0.529150262212918,-1.59972660947685
"48",48,3,"Structural",51.77,"developer/real estate","residential",7.96237912571752,9.09259121074605,4.07736793801498,"Hourly Rate","director",-0.857399920379774,2003,"2.5m-9m","2.5k-8k","C2798",NA,"2003.212",1,"loss",0.274258543421632,0.441,0.543959088344894,0.649710753690057,0.66407830863536,-0.608881240202607
"49",49,2,"Structural",78.07,"sign_manufac","residential",9.40211339185048,9.1502038810045,4.3576058601322,"Fixed Quote","director",-0.0514156194121944,2003,"9m-1.5y","8k-60k",NA,NA,"2003.218",1,"loss",0.0824974449440354,0.308,0.156067480968844,0.435324890407475,0.554977477020464,-1.85746679495107
"50",50,2,"Structural",87.18,"architect","edu_exten_community",5.95569198550219,10.3335464065589,4.46797494681025,"Fixed Quote","director",-0.667128987517337,2003,"2.5m-9m","100-600","C2314",NA,"2003.219",1,"loss",0.641546788689469,0.53,0.766836737878025,0.862467578954435,0.728010988928052,-0.265481358319273
"51",51,2,"Structural",62.16,"architect","residential",6.08085512845619,9.35044747216883,4.12971170605939,"Fixed Quote","director",-0.942799461641992,2003,"2.5m-9m","100-600","C2666",NA,"2003.220",1,"loss",0.789175352482041,0.565,0.78693894421574,0.92411177555077,0.751664818918645,-0.239604613986271
"52",52,5,"Civil",59.04,"resources","civBldg_subdiv_sewer",10.2993480455526,11.2405027737074,3.77276093809464,"Fixed Quote","seniorpro",0.19051619936651,2003,">3y","8k-60k","C2562",NA,"2003.224",0,"profit",0.72200695730712,0.543,0.553511490876327,0.897112953402474,0.736885337077622,-0.591472766658106
"53",53,4,"Civil",73.17,"developer/real estate","hotel_office_dining",9.66444841055398,10.0198580354539,4.20558774103808,"Fixed Quote","director",0.108366458108854,2003,"1.5y-3y","8k-60k","C2845",NA,"2003.227",0,"profit",0.252764861602119,0.349,0.388432956392311,0.632274354127605,0.590762219509677,-0.945634694485184
"54",54,2,"Structural",96.04,"architect","edu_exten_community",8.92610645107189,10.6552538157508,4.56476477135305,"Fixed Quote","director",0.15521327014218,2003,"1.5y-3y","2.5k-8k","C2236",NA,"2003.229",0,"profit",0.130551669891292,0.181,0.168922647752215,0.507295266999436,0.425440947723653,-1.77831437444645
"55",55,1,"Structural",100,"biz_bldgserv_internal","residential",5.03940125362803,9.03190126869645,4.60517018598809,"Hourly Rate","director",-0.829787234042553,2003,"9m-1.5y","100-600","C2516",NA,"2003.230",1,"loss",0.589380099533921,0.281,0.419912579877259,0.838426807725794,0.530094331227943,-0.867708732518897
"56",56,1,"Structural",100,"biz_bldgserv_internal","residential",7.86831615692403,9.03190126869645,4.60517018598809,"Fixed Quote","director",-0.162025577557756,2003,"9m-1.5y","2.5k-8k","C2516",NA,"2003.231",1,"loss",0.148068111723919,0.253,0.0800191708560843,0.529038379396689,0.502991053598372,-2.52548903731525
"57",57,1,"Structural",100,"architect","residential",6.48453432905497,9.64035239100384,4.60517018598809,"Hourly Rate","director",-0.195114624505929,2003,"9m-1.5y","600-2.5k","C2614",NA,"2003.235",1,"loss",0.24425556550603,0.258,0.216333917412893,0.625098067176867,0.507937003968012,-1.53093215104429
"58",58,2,"Structural",47.95,"architect","hotel_office_dining",10.0356276812451,9.17367638760459,3.92474177783592,"Fixed Quote","seniorpro",0.134859058084572,2003,"9m-1.5y","8k-60k","C2416",NA,"2003.245",0,"profit",0.241176835035382,0.13,0.177775810892579,0.622460595483511,0.360555127546399,-1.72723201188093
"59",59,2,"Structural",90.91,"architect","residential",7.85281197038806,8.93047169529196,4.50987000613377,"Fixed Quote","director",-0.0393852065321806,2003,"2.5m-9m","2.5k-8k","C2056",NA,"2003.253",1,"loss",0.184630977784947,0.031,0.134678025332204,0.569422805257303,0.17606816861659,-2.00486834671979
"60",60,2,"Structural",41.13,"architect","residential",8.25827707849623,8.93047169529196,3.89792408104864,"Fixed Quote","midtech",0.303922633923721,2003,"9m-1.5y","2.5k-8k","C2056",NA,"2003.254",0,"profit",0.530870623261841,0.28,0.379576711636233,0.809710114863109,0.529150262212918,-0.968698563874825
"61",61,2,"Structural",39,"engineer","edu_exten_community",7.74745145473024,10.0494467737871,3.75793899004543,"Fixed Quote","director",-0.587888500944422,2003,"9m-1.5y","600-2.5k","C2704",NA,"2003.255",1,"loss",0.455961147008157,0.319,0.507236211901651,0.769678365139865,0.564800849857718,-0.678778482702525
"62",62,2,"Structural",48.08,"architect","residential",6.50091903598551,7.21725999594439,3.96915919679896,"Fixed Quote","director",-0.742857142857143,2003,"9m-1.5y","600-2.5k","C2881",NA,"2003.257",1,"loss",0.68780824743132,0.664,0.681976684777675,0.88271896967495,0.814861951498535,-0.382759808266047
"63",63,11,"Civil",47.23,"developer/real estate","edu_exten_community",11.1128646707988,10.0198580354539,3.76907599610821,"Fixed Quote","midtech",-0.173487221146947,2003,">3y","60k-1.8m","C2845",NA,"2003.259",1,"loss",0.465373382644705,0.575,0.612051177689972,0.774938396848663,0.758287544405155,-0.49093937628965
"64",64,5,"Water",69.3,"developer/real estate","waste_wat_manage",10.9586615282163,10.0475091055272,4.00040011604556,"Fixed Quote","director",0.155424807176327,2003,"1.5y-3y","8k-60k","C2048",NA,"2003.264",0,"profit",0.428519695444075,0.401,0.341178494162949,0.753917103418101,0.633245607959503,-1.07534949535417
"65",65,2,"Structural",55.19,"architect","residential",8.00880739620453,8.93047169529196,4.01078177745141,"Fixed Quote","director",-0.670522016679823,2004,"1.5y-3y","2.5k-8k","C2056",NA,"2003.267",1,"loss",0.398219985565589,0.369,0.266306075596106,0.735711736295915,0.607453701939498,-1.32310897156668
"66",66,2,"Structural",84.38,"engineer","refurb/renovation",9.43693207483788,11.7987991282354,4.43533040669619,"Hourly Rate","director",2.34821428571429,2003,"9m-1.5y","8k-60k","C2475",NA,"2003.273",0,"profit",0.0490892772193284,0.197,0.105816280128233,0.366152676056351,0.443846820423443,-2.24605089494738
"67",67,2,"Structural",96.67,"architect","residential",6.80483459187859,10.3335464065589,4.57130311647651,"Hourly Rate","director",-0.587982832618026,2004,">3y","600-2.5k","C2314",NA,"2003.275",1,"loss",0.367134307174664,0.278,0.310195421375303,0.71604720929647,0.527257053058563,-1.17055278858299
"68",68,2,"Structural",73.17,"sign_manufac","edu_exten_community",7.0543042741703,8.44279717778255,4.29278550089594,"Hourly Rate","director",0.0431758910460736,2003,"2.5m-9m","600-2.5k","C2920",NA,"2003.276",0,"profit",0.199867196731585,0.148,0.200614496668572,0.584674079277794,0.384707681233427,-1.60637013952217
"69",69,2,"Structural",53.51,"builder","edu_exten_community",8.58427801525015,8.31907146678818,3.97986855232321,"Fixed Quote","director",-0.686173907790815,2003,"1.5y-3y","2.5k-8k","C2717",NA,"2003.280",1,"loss",0.177299865949854,0.287,0.239329851133261,0.561784133300993,0.535723809439155,-1.42991254829034
"70",70,2,"Structural",35.59,"sign_manufac","residential",7.82147329758703,8.55569249056685,4.12584322928147,"Fixed Quote","director",-0.0501193317422434,2004,"9m-1.5y","600-2.5k","C2350",NA,"2003.293",1,"loss",0.547738706420062,0.505,0.359581195438958,0.818196864012542,0.710633520177595,-1.02281527074711
"71",71,2,"Structural",26.67,"architect","art_facade_awn_memb",7.94426887506696,10.3335464065589,4.18737942818929,"Fixed Quote","director",0.0325837540156035,2004,"2.5m-9m","2.5k-8k","C2314",NA,"2004.002",0,"profit",0.177293661173444,0.339,0.195950207338193,0.561777579835613,0.582237065120386,-1.6298946962192
"72",72,2,"Structural",43.22,"architect","edu_exten_community",8.79156673545416,8.16308637558322,3.91202300542815,"Fixed Quote","director",0.338090990187333,2004,"3wk-2.5m","2.5k-8k","C2180",NA,"2004.003",0,"profit",0.171201393768831,0.364,0.176362781737668,0.555267726544489,0.603324125159934,-1.73521214555222
"73",73,2,"Structural",92.86,"sign_manufac","residential",7.57802448011207,7.35244110024358,4.53109298259178,"Hourly Rate","director",0.15727002967359,2004,"2.5m-9m","600-2.5k",NA,NA,"2004.004",0,"profit",0.186995923930251,0.325,0.241658649219296,0.571843751569327,0.570087712549569,-1.42022908899019
"74",74,2,"Structural",23.47,"biz_bldgserv_internal","residential",9.29525034421123,9.06966696434274,4.33990170837321,"Fixed Quote","director",0.161733025774747,2004,"2.5m-9m","8k-60k",NA,NA,"2004.005",0,"profit",0.249001104270849,0.323,0.307318226437458,0.629120385165332,0.568330889535313,-1.1798715000606
"75",75,3,"Structural",86.79,"biz_bldgserv_internal","art_facade_awn_memb",7.43344325130097,7.20785987143248,4.46349140765615,"Fixed Quote","director",0.104972375690608,2004,"2.5m-9m","600-2.5k",NA,NA,"2004.006",0,"profit",0.329313290766374,0.356,0.438199156977224,0.690562651595769,0.596657355607052,-0.825081775653694
"76",76,5,"Civil",73.63,"enviro_water","civBldg_subdiv_sewer",9.6482732564776,10.0474749031134,4.17669230357085,"Fixed Quote","director",-0.149456278759449,2004,"1.5y-3y","8k-60k","C2354",NA,"2004.010",1,"loss",0.237285283216175,0.408,0.196646685976145,0.619094483900595,0.638748776906853,-1.62634663264324
"77",77,2,"Water",100,"engineer","flood_h2o_harvest",9.65483516026245,9.48310041262579,4.60517018598809,"Fixed Quote","director",-0.0623570621468927,2004,"3wk-2.5m","8k-60k","C2384",NA,"2004.011",1,"loss",0.0244430063876653,0.121,0.067149070468467,0.290213898427157,0.347850542618522,-2.70084019872274
"78",78,2,"Structural",33.75,"enviro_water","residential",9.2734048223469,9.04782144247841,4.26267987704132,"Fixed Quote","director",0.259124952597649,2004,"2.5m-9m","8k-60k",NA,NA,"2004.012",0,"profit",0.164374769664623,0.295,0.130593247272419,0.547786997049196,0.543139024560011,-2.03566776889451
"79",79,2,"Structural",43.62,"architect","residential",6.44019147829068,8.93047169529196,4.08530381756995,"Fixed Quote","director",-0.842296167796877,2004,"2.5m-9m","600-2.5k","C2056",NA,"2004.015",1,"loss",0.618698786406513,0.548,0.649384781220367,0.852104949714398,0.74027022093287,-0.431729854727562
"80",80,1,"Water",100,"engineer","residential",7.59764483841014,9.48310041262579,4.60517018598809,"Fixed Quote","director",-0.835138860103627,2004,"2.5m-9m","600-2.5k","C2384",NA,"2004.019",1,"loss",0.235498039525208,0.196,0.188550585467871,0.617536215614506,0.442718872423573,-1.66838895017588
"81",81,2,"Structural",25.86,"architect","hotel_office_dining",8.55644699309324,10.6552538157508,4.26267987704132,"Fixed Quote","director",-0.326708578381667,2004,"1.5y-3y","2.5k-8k","C2236",NA,"2004.020",1,"loss",0.379051989750516,0.266,0.230786376334708,0.723712810603392,0.515751878329105,-1.46626277410295
"82",82,2,"Structural",35.12,"sign_manufac","residential",9.26186793946775,8.55569249056685,4.17438726989564,"Fixed Quote","director",-0.0977355605475545,2004,">3y","8k-60k","C2350",NA,"2004.021",1,"loss",0.190837308495647,0.367,0.119445264750889,0.575732961688954,0.605805249234438,-2.12489704809831
"83",83,1,"Structural",100,"sign_manufac","residential",10.8619194798161,9.56735025981494,4.60517018598809,"Fixed Quote","director",0.186092903961243,2004,"1.5y-3y","8k-60k","C2949",NA,"2004.023",0,"profit",0.0559625673618896,0.253,0.108855768922815,0.382500972243279,0.502991053598372,-2.21773149387441
"84",84,2,"Structural",39.25,"architect","residential",8.19804939584306,9.5446631573241,4.24520411795115,"Fixed Quote","director",-0.474518686296716,2004,"9m-1.5y","2.5k-8k","C2875",NA,"2004.028",1,"loss",0.404761345068195,0.312,0.291573662924496,0.739718266910953,0.558569601750758,-1.23246260211563
"85",85,2,"Structural",24.88,"engineer","edu_exten_community",9.36335305900984,10.0494467737871,4.31748811353631,"Hourly Rate","seniortech",0.243864271670657,2004,"9m-1.5y","8k-60k","C2704",NA,"2004.041",0,"profit",0.127639046450852,0.09,0.0907979876499765,0.503494252119898,0.3,-2.39911815606567
"86",86,1,"Structural",100,"builder","hosp_health_carpark",6.39936948377043,11.3839547423763,4.60517018598809,"Fixed Quote","director",0.2,2004,"1d-3wk","600-2.5k","C2683",NA,"2004.043",0,"profit",0.0351766159811561,0.011,0.0397146298528805,0.327655920103275,0.104880884817015,-3.22603564902406
"87",87,1,"Structural",100,"road_rail_gov_util","art_facade_awn_memb",8.58025764178695,9.12287434619491,4.60517018598809,"Fixed Quote","director",0.125827814569536,2004,"2.5m-9m","2.5k-8k","C2021",NA,"2004.047",0,"profit",0.0340752368653539,0.038,0.0531238905471332,0.324199963139791,0.194935886896179,-2.9351285357743
"88",88,2,"Structural",77.78,"architect","hosp_health_carpark",7.17255937200391,9.64035239100384,4.3538843287276,"Hourly Rate","director",0.241791044776119,2004,"1.5y-3y","600-2.5k","C2614",NA,"2004.048",0,"profit",0.295778677053532,0.448,0.5718935090051,0.666278225949265,0.66932802122726,-0.558802478002703
"89",89,3,"Civil",22.28,"enviro_water","hotel_office_dining",10.0618621827112,9.14313162228273,4.10775424913202,"Hourly Rate","director",0.350131764196238,2004,"1.5y-3y","8k-60k",NA,NA,"2004.049",0,"profit",0.123333473865425,0.365,0.272508135392449,0.497768016478601,0.604152298679729,-1.30008681067329
"90",90,2,"Structural",27.94,"sign_manufac","art_facade_awn_memb",8.45509449883295,8.44279717778255,4.25688849140738,"Fixed Quote","director",0.918649270913277,2004,"2.5m-9m","2.5k-8k","C2920",NA,"2004.051",0,"profit",0.129899130324694,0.043,0.127477230280876,0.506448646136032,0.207364413533277,-2.05981751636439
